"filename", "language", "Python", "Ini", "Markdown", "XML", "CSS", "YAML", "comment", "blank", "total"
"d:\project\cae\emx\src\icons\tree_model_root.svg", "XML", 0, 0, 0, 27, 0, 0, 1, 1, 29
"d:\project\cae\emx\src\icons\tree_nf_item.svg", "XML", 0, 0, 0, 26, 0, 0, 1, 2, 29
"d:\project\cae\emx\src\icons\tree_nf_root.svg", "XML", 0, 0, 0, 26, 0, 0, 1, 2, 29
"d:\project\cae\emx\src\icons\tree_nfr_item.svg", "XML", 0, 0, 0, 803, 0, 0, 1, 3, 807
"d:\project\cae\emx\src\icons\tree_nfr_root.svg", "XML", 0, 0, 0, 803, 0, 0, 1, 3, 807
"d:\project\cae\emx\src\icons\tree_node_root.svg", "XML", 0, 0, 0, 35, 0, 0, 1, 2, 38
"d:\project\cae\emx\src\icons\tree_port_item.svg", "XML", 0, 0, 0, 19, 0, 0, 1, 1, 21
"d:\project\cae\emx\src\icons\tree_port_root.svg", "XML", 0, 0, 0, 19, 0, 0, 1, 1, 21
"d:\project\cae\emx\src\icons\tree_power_root.svg", "XML", 0, 0, 0, 34, 0, 0, 1, 1, 36
"d:\project\cae\emx\src\icons\tree_r_currents.svg", "XML", 0, 0, 0, 18, 0, 0, 1, 1, 20
"d:\project\cae\emx\src\icons\tree_r_ffr_item.svg", "XML", 0, 0, 0, 18, 0, 0, 1, 1, 20
"d:\project\cae\emx\src\icons\tree_r_ffr_root.svg", "XML", 0, 0, 0, 18, 0, 0, 1, 1, 20
"d:\project\cae\emx\src\icons\tree_r_nf_item.svg", "XML", 0, 0, 0, 26, 0, 0, 1, 2, 29
"d:\project\cae\emx\src\icons\tree_r_nf_root.svg", "XML", 0, 0, 0, 26, 0, 0, 1, 2, 29
"d:\project\cae\emx\src\icons\tree_r_nfr_item.svg", "XML", 0, 0, 0, 803, 0, 0, 1, 3, 807
"d:\project\cae\emx\src\icons\tree_r_nfr_root.svg", "XML", 0, 0, 0, 803, 0, 0, 1, 3, 807
"d:\project\cae\emx\src\icons\tree_req_root.svg", "XML", 0, 0, 0, 39, 0, 0, 1, 2, 42
"d:\project\cae\emx\src\icons\tree_res_root.svg", "XML", 0, 0, 0, 46, 0, 0, 1, 2, 49
"d:\project\cae\emx\src\icons\tree_source_item.svg", "XML", 0, 0, 0, 17, 0, 0, 1, 1, 19
"d:\project\cae\emx\src\icons\tree_source_root.svg", "XML", 0, 0, 0, 17, 0, 0, 1, 1, 19
"d:\project\cae\emx\src\icons\view_back.svg", "XML", 0, 0, 0, 49, 0, 0, 1, 2, 52
"d:\project\cae\emx\src\icons\view_bottom.svg", "XML", 0, 0, 0, 49, 0, 0, 1, 2, 52
"d:\project\cae\emx\src\icons\view_fit.svg", "XML", 0, 0, 0, 45, 0, 0, 1, 4, 50
"d:\project\cae\emx\src\icons\view_front.svg", "XML", 0, 0, 0, 49, 0, 0, 1, 2, 52
"d:\project\cae\emx\src\icons\view_iso.svg", "XML", 0, 0, 0, 47, 0, 0, 1, 2, 50
"d:\project\cae\emx\src\icons\view_left.svg", "XML", 0, 0, 0, 51, 0, 0, 1, 2, 54
"d:\project\cae\emx\src\icons\view_pan_down.svg", "XML", 0, 0, 0, 45, 0, 0, 1, 3, 49
"d:\project\cae\emx\src\icons\view_pan_left.svg", "XML", 0, 0, 0, 45, 0, 0, 1, 2, 48
