 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
 "FarField Radiation"           1
   0.1350000000E+003   0.4500000000E+002   0.1194965935E+002   0.7143431664E+001   0.1411309624E+002   0.6367799377E+002   0.5834734344E+002
   0.1350000000E+003   0.9000000000E+002   0.2231635857E+002   0.6357557297E+002   0.1112340614E+000   0.4354708481E+002   0.6210664749E+002
   0.1350000000E+003   0.1350000000E+003   0.1159663105E+002   0.4548954010E+001   0.1399104786E+002   0.6236106110E+002   0.5799793243E+002
   0.1350000000E+003   0.1800000000E+003   0.1551073510E-001   0.3591431808E+002   0.1461837673E+002   0.5873035812E+002   0.5364559937E+002
   0.1350000000E+003   0.2250000000E+003   0.1196999168E+002   0.7732470989E+001   0.1421846104E+002   0.6250817490E+002   0.5844834137E+002
   0.1350000000E+003   0.2700000000E+003   0.2271741104E+002   0.6417427063E+002   0.8611512929E-001   0.6107165146E+002   0.6246277237E+002
   0.1350000000E+003   0.3150000000E+003   0.1160707378E+002   0.5772496700E+001   0.1415154266E+002   0.6139021683E+002   0.5814101791E+002
   0.1350000000E+003   0.3600000000E+003   0.2021392733E+000   0.1339341450E+002   0.1455429363E+002   0.5725208664E+002   0.5355965042E+002
   0.1800000000E+003   0.0000000000E+000   0.1262007505E+000   0.6950496674E+002   0.2369686127E+002   0.4697614288E+002   0.6330713654E+002
   0.1800000000E+003   0.4500000000E+002   0.1679617310E+002   0.4724851608E+002   0.1671663094E+002   0.4670220184E+002   0.6330713654E+002
   0.1800000000E+003   0.9000000000E+002   0.2369687271E+002   0.4697611618E+002   0.1262009293E+000   0.6950571442E+002   0.6330714798E+002
   0.1800000000E+003   0.1350000000E+003   0.1671663475E+002   0.4670217896E+002   0.1679617310E+002   0.4724848557E+002   0.6330713654E+002
   0.1800000000E+003   0.1800000000E+003   0.1262013763E+000   0.6950651550E+002   0.2369686890E+002   0.4697606659E+002   0.6330714417E+002
   0.1800000000E+003   0.2250000000E+003   0.1679617500E+002   0.4724856567E+002   0.1671662331E+002   0.4670214844E+002   0.6330713272E+002
   0.1800000000E+003   0.2700000000E+003   0.2369686508E+002   0.4697608948E+002   0.1262010336E+000   0.6950509644E+002   0.6330713654E+002
   0.1800000000E+003   0.3150000000E+003   0.1671662712E+002   0.4670213699E+002   0.1679618263E+002   0.4724852753E+002   0.6330714417E+002
   0.1800000000E+003   0.3600000000E+003   0.1262029856E+000   0.6950676727E+002   0.2369686699E+002   0.4697613525E+002   0.6330714417E+002
 "Frequency in Hz"  1.2000000E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
 "FarField Radiation"           1
   0.0000000000E+000   0.0000000000E+000   0.1082920730E+000   0.1352652073E+002   0.1165221119E+002   0.6272382736E+002   0.4911077881E+002
   0.0000000000E+000   0.2000000000E+002   0.3962326050E+001   0.6415325165E+002   0.1095833778E+002   0.6253577423E+002   0.4911074066E+002
   0.0000000000E+000   0.4000000000E+002   0.7470606327E+001   0.6334182739E+002   0.8942889214E+001   0.6229063034E+002   0.4911074829E+002
   0.0000000000E+000   0.6000000000E+002   0.1007835484E+002   0.6302272415E+002   0.5849084854E+001   0.6183132935E+002   0.4911072540E+002
   0.0000000000E+000   0.8000000000E+002   0.1147070408E+002   0.6281497574E+002   0.2051341295E+001   0.5982920456E+002   0.4911073303E+002
   0.0000000000E+000   0.1000000000E+003   0.1147966003E+002   0.6263262939E+002   0.2000716209E+001   0.6569167328E+002   0.4911075974E+002
   0.0000000000E+000   0.1200000000E+003   0.1010407257E+002   0.6242542648E+002   0.5804508209E+001   0.6362298584E+002   0.4911069870E+002
   0.0000000000E+000   0.1400000000E+003   0.7510017872E+001   0.6210894775E+002   0.8909822464E+001   0.6315866852E+002   0.4911075211E+002
   0.0000000000E+000   0.1600000000E+003   0.4010684013E+001   0.6131163025E+002   0.1094070721E+002   0.6291222000E+002   0.4911070251E+002
   0.0000000000E+000   0.1800000000E+003   0.1082909033E+000   0.1352834511E+002   0.1165220928E+002   0.6272383881E+002   0.4911077881E+002
   0.2000000000E+002   0.0000000000E+000   0.8209412545E-001   0.1845139122E+002   0.1781314850E+002   0.7378505707E+002   0.5759894943E+002
   0.2000000000E+002   0.2000000000E+002   0.6070091724E+001   0.4272178650E+001   0.2334122086E+002   0.2912059784E+002   0.6365883636E+002
   0.2000000000E+002   0.4000000000E+002   0.1961302757E+002   0.3562300110E+002   0.1598068428E+002   0.2808592987E+002   0.6461550903E+002
   0.2000000000E+002   0.6000000000E+002   0.1471112442E+002   0.3748070908E+002   0.9401452065E+001   0.4219287491E+002   0.5719670105E+002
   0.2000000000E+002   0.8000000000E+002   0.1322166920E+002   0.5188692474E+002   0.4205911636E+001   0.6776689148E+002   0.5260108185E+002
   0.2000000000E+002   0.1000000000E+003   0.1310060024E+002   0.5114012146E+002   0.4229102612E+001   0.6919139099E+002   0.5244447327E+002
   0.2000000000E+002   0.1200000000E+003   0.1435536480E+002   0.3655310440E+002   0.9417956352E+001   0.4179024506E+002   0.5686210251E+002
   0.2000000000E+002   0.1400000000E+003   0.1930412865E+002   0.3501362610E+002   0.1575108433E+002   0.2883867073E+002   0.6430921936E+002
   0.2000000000E+002   0.1600000000E+003   0.6020427227E+001   0.3855028868E+001   0.2317153549E+002   0.2960979652E+002   0.6351174164E+002
   0.2000000000E+002   0.1800000000E+003   0.4428933561E-001   0.7501284027E+002   0.1781608200E+002   0.7468907166E+002   0.5760208893E+002
   0.4000000000E+002   0.0000000000E+000   0.2548516989E+000   0.3928941345E+002   0.2208689308E+002   0.1612398148E+001   0.6190102005E+002
   0.4000000000E+002   0.2000000000E+002   0.1071624851E+002   0.5057883453E+002   0.1579463100E+002   0.5284528732E+002   0.5898000717E+002
   0.4000000000E+002   0.4000000000E+002   0.2179644585E+002   0.3395429230E+002   0.1714913368E+002   0.3465596771E+002   0.6645322418E+002
   0.4000000000E+002   0.6000000000E+002   0.2644964790E+002   0.1442432785E+002   0.9800443649E+001   0.2626186180E+002   0.6679137421E+002
   0.4000000000E+002   0.8000000000E+002   0.1783133125E+002   0.3483531189E+002   0.8813348770E+001   0.3968419647E+002   0.5980483246E+002
   0.4000000000E+002   0.1000000000E+003   0.1768912697E+002   0.3446629715E+002   0.8608553886E+001   0.4104698563E+002   0.5958456421E+002
   0.4000000000E+002   0.1200000000E+003   0.2625477028E+002   0.1426848888E+002   0.1001598454E+002   0.2567881584E+002   0.6671568298E+002
   0.4000000000E+002   0.1400000000E+003   0.2136077499E+002   0.3365465927E+002   0.1720185471E+002   0.3388986969E+002   0.6622984314E+002
   0.4000000000E+002   0.1600000000E+003   0.1077161026E+002   0.4870027161E+002   0.1582908154E+002   0.5349535751E+002   0.5904237366E+002
   0.4000000000E+002   0.1800000000E+003   0.1953314394E+000   0.4135221100E+002   0.2177401924E+002   0.7053816319E+000   0.6161515808E+002
   0.6000000000E+002   0.0000000000E+000   0.1458656639E+000   0.2348563385E+002   0.2532151604E+002   0.3925510788E+002   0.6463342285E+002
   0.6000000000E+002   0.2000000000E+002   0.3289162159E+001   0.3741954803E+002   0.1771572685E+002   0.3159527016E+002   0.5782795334E+002
   0.6000000000E+002   0.4000000000E+002   0.2467986488E+002   0.4590150833E+002   0.2012870026E+002   0.5104110336E+002   0.6921914673E+002
   0.6000000000E+002   0.6000000000E+002   0.3590220642E+002   0.5046686172E+002   0.7457899094E+001   0.7921121979E+002   0.7203843689E+002
   0.6000000000E+002   0.8000000000E+002   0.2960201263E+002   0.4315582657E+002   0.4718351364E+001   0.5031369019E+002   0.6800773621E+002
   0.6000000000E+002   0.1000000000E+003   0.2978427315E+002   0.4365829086E+002   0.4399835110E+001   0.5304938889E+002   0.6809548187E+002
   0.6000000000E+002   0.1200000000E+003   0.3598095703E+002   0.5105430603E+002   0.7443682671E+001   0.7697398376E+002   0.7207887268E+002
   0.6000000000E+002   0.1400000000E+003   0.2428986359E+002   0.4759479523E+002   0.1969817162E+002   0.5147478867E+002   0.6885525513E+002
   0.6000000000E+002   0.1600000000E+003   0.3299775600E+001   0.3883930969E+002   0.1826312065E+002   0.3064229965E+002   0.5841891479E+002
   0.6000000000E+002   0.1800000000E+003   0.2624862492E+000   0.5347984695E+002   0.2527361488E+002   0.3993161392E+002   0.6459629822E+002
   0.8000000000E+002   0.0000000000E+000   0.5541970208E-001   0.4970562458E+001   0.2439964294E+002   0.1714249611E+002   0.6389141846E+002
   0.8000000000E+002   0.2000000000E+002   0.7556692123E+001   0.1241822338E+002   0.3159984398E+002   0.3242193604E+002   0.6961915588E+002
   0.8000000000E+002   0.4000000000E+002   0.9627474785E+001   0.1596377563E+002   0.2801503372E+002   0.6773867607E+001   0.6777111816E+002
   0.8000000000E+002   0.6000000000E+002   0.1562480545E+002   0.1051426315E+002   0.7834037304E+001   0.4881427383E+002   0.5721971512E+002
