 Values of the electric field strength in the far field V
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.9000000000E+002   0.1200000000E+003   0.3883020327E-005   0.2026459122E+002   0.9996213913E+001   0.4648000717E+002   0.4604412842E+002
   0.9000000000E+002   0.1500000000E+003   0.1981913101E-005   0.6715685844E+001   0.3106378746E+002   0.3752271175E+001   0.6872085571E+002
   0.9000000000E+002   0.1800000000E+003   0.4802039300E-007   0.8816090393E+002   0.2217059326E+002   0.1320346832E+002   0.6197533417E+002
   0.9000000000E+002   0.2100000000E+003   0.2006322802E-005   0.5985838890E+001   0.3126684952E+002   0.2757999897E+001   0.6885117340E+002
   0.9000000000E+002   0.2400000000E+003   0.3839970759E-005   0.2025688934E+002   0.1019478989E+002   0.4968479156E+002   0.4643753433E+002
   0.9000000000E+002   0.2700000000E+003   0.3458030278E-005   0.1023834515E+002   0.5426215008E-001   0.1621563911E+002  -0.5827856445E+002
   0.9000000000E+002   0.3000000000E+003   0.3888881565E-005   0.2029958153E+002   0.1011860085E+002   0.4891471481E+002   0.4628750610E+002
   0.9000000000E+002   0.3300000000E+003   0.1972796326E-005   0.6702930927E+001   0.3067562675E+002   0.3208291054E+001   0.6846936798E+002
   0.9000000000E+002   0.3600000000E+003   0.1766215263E-007   0.1264010525E+002   0.2233079338E+002   0.1270014381E+002   0.6211933136E+002
   0.1350000000E+003   0.0000000000E+000   0.3150631785E+000   0.2625507355E+002   0.1323475456E+002   0.6493833065E+001   0.5166259003E+002
   0.1350000000E+003   0.3000000000E+002   0.1405460072E+002   0.5535103798E+001   0.2266631126E+002   0.1286992741E+002   0.6567085266E+002
   0.1350000000E+003   0.6000000000E+002   0.1533730698E+002   0.2328955269E+002   0.7535792351E+001   0.3770201111E+002   0.5676826477E+002
   0.1350000000E+003   0.9000000000E+002   0.1129030895E+002   0.5433800125E+002   0.4270087183E+000   0.9763947874E-001   0.4849319077E+002
   0.1350000000E+003   0.1200000000E+003   0.1501552105E+002   0.2326555443E+002   0.7799424171E+001   0.3613533401E+002   0.5657029724E+002
   0.1350000000E+003   0.1500000000E+003   0.1388436508E+002   0.4095032692E+001   0.2285708427E+002   0.1219189262E+002   0.6572592926E+002
   0.1350000000E+003   0.1800000000E+003   0.3668435514E+000   0.1415584373E+002   0.1294769669E+002   0.5301525593E+001   0.5122638321E+002
   0.1350000000E+003   0.2100000000E+003   0.1401849651E+002   0.5464004517E+001   0.2262806511E+002   0.1298350048E+002   0.6563217163E+002
   0.1350000000E+003   0.2400000000E+003   0.1543066883E+002   0.2369064140E+002   0.7834932327E+001   0.3907908249E+002   0.5702086639E+002
   0.1350000000E+003   0.2700000000E+003   0.1150549984E+002   0.5552371597E+002   0.3810676932E+000   0.3434793949E+001   0.4886746979E+002
   0.1350000000E+003   0.3000000000E+003   0.1500076485E+002   0.2389971733E+002   0.7830820560E+001   0.3717266846E+002   0.5657196426E+002
   0.1350000000E+003   0.3300000000E+003   0.1372361660E+002   0.4721463203E+001   0.2277229309E+002   0.1225822639E+002   0.6560910034E+002
   0.1350000000E+003   0.3600000000E+003   0.3150635958E+000   0.2625459099E+002   0.1323477173E+002   0.6493831635E+001   0.5166261673E+002
   0.1800000000E+003   0.0000000000E+000   0.1351579428E+000   0.1274601746E+002   0.1165686131E+002   0.6257217789E+002   0.4911924362E+002
   0.1800000000E+003   0.3000000000E+002   0.5799874306E+001   0.6369086075E+002   0.1011245918E+002   0.6220181656E+002   0.4911922073E+002
