 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)            Total_dB
   0.2000000000E+001   0.1800000000E+002   0.7026868343E+001   0.4224493790E+002   0.2211699104E+002   0.4751792145E+002   0.6288858414E+002
   0.2000000000E+001   0.2000000000E+002   0.7777012825E+001   0.4225009918E+002   0.2186113358E+002   0.4758360672E+002   0.6288585281E+002
   0.2000000000E+001   0.2200000000E+002   0.8518527985E+001   0.4227538300E+002   0.2157921028E+002   0.4765549850E+002   0.6288281250E+002
   0.2000000000E+001   0.2400000000E+002   0.9250496864E+001   0.4231683350E+002   0.2127175522E+002   0.4773322678E+002   0.6287968445E+002
   0.2000000000E+001   0.2600000000E+002   0.9972127914E+001   0.4237210846E+002   0.2093871498E+002   0.4781620407E+002   0.6287622833E+002
   0.2000000000E+001   0.2800000000E+002   0.1068248558E+002   0.4243881989E+002   0.2058055687E+002   0.4790370560E+002   0.6287253952E+002
   0.2000000000E+001   0.3000000000E+002   0.1138084030E+002   0.4251528168E+002   0.2019746017E+002   0.4799608231E+002   0.6286856079E+002
   0.2000000000E+001   0.3200000000E+002   0.1206620598E+002   0.4260014725E+002   0.1978978157E+002   0.4809180450E+002   0.6286424255E+002
   0.2000000000E+001   0.3400000000E+002   0.1273784733E+002   0.4269203949E+002   0.1935796928E+002   0.4819056702E+002   0.6285968018E+002
   0.2000000000E+001   0.3600000000E+002   0.1339488125E+002   0.4279007721E+002   0.1890211678E+002   0.4829175568E+002   0.6285463333E+002
   0.2000000000E+001   0.3800000000E+002   0.1403650379E+002   0.4289298630E+002   0.1842298508E+002   0.4839485168E+002   0.6284935379E+002
   0.2000000000E+001   0.4000000000E+002   0.1466188717E+002   0.4299998856E+002   0.1792088699E+002   0.4849899673E+002   0.6284375000E+002
   0.2000000000E+001   0.4200000000E+002   0.1527013111E+002   0.4311023331E+002   0.1739630318E+002   0.4860359955E+002   0.6283776093E+002
   0.2000000000E+001   0.4400000000E+002   0.1586058998E+002   0.4322264481E+002   0.1684967232E+002   0.4870782471E+002   0.6283144379E+002
   0.2000000000E+001   0.4600000000E+002   0.1643244362E+002   0.4333658218E+002   0.1628168678E+002   0.4881086349E+002   0.6282488251E+002
   0.2000000000E+001   0.4800000000E+002   0.1698483658E+002   0.4345103455E+002   0.1569289494E+002   0.4891209793E+002   0.6281802368E+002
   0.2000000000E+001   0.5000000000E+002   0.1751705933E+002   0.4356575775E+002   0.1508390141E+002   0.4901062393E+002   0.6281091309E+002
   0.2000000000E+001   0.5200000000E+002   0.1802832413E+002   0.4367922211E+002   0.1445538712E+002   0.4910548019E+002   0.6280355835E+002
   0.2000000000E+001   0.5400000000E+002   0.1851801491E+002   0.4379132080E+002   0.1380805874E+002   0.4919578171E+002   0.6279607773E+002
   0.2000000000E+001   0.5600000000E+002   0.1898539734E+002   0.4390122986E+002   0.1314267540E+002   0.4928063965E+002   0.6278850174E+002
   0.2000000000E+001   0.5800000000E+002   0.1942970085E+002   0.4400806046E+002   0.1245998764E+002   0.4935875320E+002   0.6278079605E+002
   0.2000000000E+001   0.6000000000E+002   0.1985047340E+002   0.4411128235E+002   0.1176082802E+002   0.4942871475E+002   0.6277316666E+002
   0.2000000000E+001   0.6200000000E+002   0.2024695587E+002   0.4421026611E+002   0.1104601860E+002   0.4948952484E+002   0.6276556396E+002
   0.2000000000E+001   0.6400000000E+002   0.2061850166E+002   0.4430455017E+002   0.1031648540E+002   0.4953946686E+002   0.6275802231E+002
   0.2000000000E+001   0.6600000000E+002   0.2096477509E+002   0.4439340210E+002   0.9573130608E+001   0.4957606506E+002   0.6275075912E+002
   0.2000000000E+001   0.6800000000E+002   0.2128507614E+002   0.4447644424E+002   0.8816859245E+001   0.4959707260E+002   0.6274369049E+002
   0.2000000000E+001   0.7000000000E+002   0.2157900238E+002   0.4455304718E+002   0.8048741341E+001   0.4959911728E+002   0.6273698425E+002
   0.2000000000E+001   0.7200000000E+002   0.2184601021E+002   0.4462274933E+002   0.7269731998E+001   0.4957730865E+002   0.6273060226E+002
   0.2000000000E+001   0.7400000000E+002   0.2208584023E+002   0.4468516922E+002   0.6480858326E+001   0.4952456284E+002   0.6272472763E+002
   0.2000000000E+001   0.7600000000E+002   0.2229794502E+002   0.4473999023E+002   0.5683218002E+001   0.4943079376E+002   0.6271928406E+002
   0.2000000000E+001   0.7800000000E+002   0.2248212814E+002   0.4478676224E+002   0.4877868176E+001   0.4927805328E+002   0.6271441650E+002
   0.2000000000E+001   0.8000000000E+002   0.2263810349E+002   0.4482524872E+002   0.4065964222E+001   0.4903501892E+002   0.6271018600E+002
   0.2000000000E+001   0.8200000000E+002   0.2276551819E+002   0.4485505295E+002   0.3248692989E+001   0.4863879013E+002   0.6270653152E+002
   0.2000000000E+001   0.8400000000E+002   0.2286427879E+002   0.4487608337E+002   0.2427320957E+001   0.4794054794E+002   0.6270359039E+002
   0.2000000000E+001   0.8600000000E+002   0.2293418503E+002   0.4488827133E+002   0.1603476524E+001   0.4648646927E+002   0.6270133591E+002
   0.2000000000E+001   0.8800000000E+002   0.2297522926E+002   0.4489121628E+002   0.7807998657E+000   0.4190671158E+002   0.6269987488E+002
   0.2000000000E+001   0.9000000000E+002   0.2298714447E+002   0.4488469696E+002   0.1338160783E+000   0.6445392609E+002   0.6269904327E+002
   0.2000000000E+001   0.9200000000E+002   0.2297010612E+002   0.4486911392E+002   0.8936890960E+000   0.5859411621E+002   0.6269899750E+002
   0.2000000000E+001   0.9400000000E+002   0.2292405510E+002   0.4484436035E+002   0.1716731071E+001   0.5483609009E+002   0.6269966125E+002
