 Values of the electric field strength in V/m 
 (total field,incident and scattered) 
 "Frequency in Hz"  1.1000001E+10
          Theta(deg)            Phi(deg)           radius(m)        Magn(Etheta)       Phase(Etheta)          Magn(Ephi)         Phase(Ephi)          Total(V/m)
 "NearField Radiation"           1
   80.0000   30.0000    1.0000    0.9021015167E+01    0.1158771229E+02    0.3419246674E+02    0.2065707970E+02    0.3536400604E+02
   80.0000   60.0000    1.0000    0.1626381493E+02    0.1064242935E+02    0.1290981770E+02    0.7817150879E+02    0.2077668571E+02
   80.0000   90.0000    1.0000    0.1488372898E+02    0.1201947403E+02    0.4510937214E+01    0.5226021957E+02    0.1557667351E+02
   80.0000  120.0000    1.0000    0.1836795616E+02    0.1105500317E+02    0.1418682480E+02    0.3661632538E+02    0.2322131729E+02
   80.0000  150.0000    1.0000    0.9097644806E+01    0.1954455948E+02    0.4186071777E+02    0.7791366577E+01    0.4283899689E+02
   80.0000  180.0000    1.0000    0.9477947354E+00    0.1214899158E+02    0.2102438927E+02    0.2387501907E+02    0.2104637146E+02
  100.0000    0.0000    1.0000    0.7659846544E+00    0.3764876938E+02    0.1870519066E+02    0.2438883018E+02    0.1872199249E+02
  100.0000   30.0000    1.0000    0.9020980835E+01    0.1158680534E+02    0.3419238663E+02    0.2065614510E+02    0.3536392212E+02
  100.0000   60.0000    1.0000    0.1626380539E+02    0.1064344788E+02    0.1290987873E+02    0.7817050934E+02    0.2077671814E+02
  100.0000   90.0000    1.0000    0.1488373184E+02    0.1201865768E+02    0.4510909557E+01    0.5226023483E+02    0.1557666874E+02
  100.0000  120.0000    1.0000    0.1836793137E+02    0.1105593395E+02    0.1418682671E+02    0.3661532974E+02    0.2322130203E+02
  100.0000  150.0000    1.0000    0.9097624779E+01    0.1954373932E+02    0.4186069107E+02    0.7790440083E+01    0.4283897018E+02
  100.0000  180.0000    1.0000    0.9477919936E+00    0.1215060711E+02    0.2102427483E+02    0.2387418556E+02    0.2104625511E+02
  120.0000    0.0000    1.0000    0.2236769438E+01    0.5043524170E+02    0.1982623100E+02    0.5385661316E+02    0.1995337868E+02
  120.0000   30.0000    1.0000    0.1281364536E+02    0.3825402832E+02    0.1679708862E+02    0.3525357819E+02    0.2114778328E+02
  120.0000   60.0000    1.0000    0.3218455124E+02    0.6026323318E+02    0.6206374168E+01    0.4988146210E+02    0.3279043198E+02
  120.0000   90.0000    1.0000    0.3604532242E+02    0.4926759720E+02    0.1413130045E+01    0.4605380630E+02    0.3607643509E+02
  120.0000  120.0000    1.0000    0.3287047577E+02    0.5544853973E+02    0.1274920082E+02    0.8590748596E+02    0.3526189041E+02
  120.0000  150.0000    1.0000    0.1487487030E+02    0.4889320374E+02    0.2178445435E+02    0.4749440765E+02    0.2639356232E+02
  120.0000  180.0000    1.0000    0.3492981911E+01    0.7735149384E+02    0.1569497395E+02    0.4904987335E+02    0.1607900429E+02
